2025-11-02 20:28:19 | INFO     | logger:info:57 | Opened existing repository at C:\Users\janny\Desktop\testrepo
2025-11-02 20:28:19 | INFO     | logger:info:57 | Fetching all branches from origin...
2025-11-02 20:28:21 | INFO     | logger:info:57 | Created checkpoint: Initial checkpoint
2025-11-02 20:28:21 | INFO     | logger:info:57 | Wave.AI sync engine initialized successfully
2025-11-02 20:28:21 | INFO     | logger:info:57 | Sync engine initialized successfully
2025-11-02 20:28:21 | INFO     | logger:info:57 | File watcher started for: C:\Users\janny\Desktop\testrepo
2025-11-02 20:28:21 | INFO     | logger:info:57 | Watching patterns: ['*.py', '*.js', '*.jsx', '*.ts', '*.tsx', '*.html', '*.css', '*.json', '*.md']
2025-11-02 20:28:21 | INFO     | logger:info:57 | Sync loop started (interval: 15s)
2025-11-02 20:28:21 | INFO     | logger:info:57 | Wave.AI sync engine started
2025-11-02 20:32:38 | INFO     | logger:info:57 | Starting Wave.AI in GUI mode
2025-11-02 20:32:38 | INFO     | logger:info:57 | Starting Wave.AI GUI
2025-11-02 20:32:38 | INFO     | logger:info:57 | Created tab 0: Perplexity 1
2025-11-02 20:32:40 | INFO     | logger:info:57 | Wave.AI window loaded
2025-11-02 20:32:40 | INFO     | logger:info:57 | Initializing sync engine...
2025-11-02 20:32:40 | INFO     | logger:info:57 | Initializing Git sync for https://github.com/axzaxzz/AppTesting/
2025-11-02 20:32:40 | INFO     | logger:info:57 | Opened existing repository at C:\Users\janny\Desktop\testrepo
2025-11-02 20:32:40 | INFO     | logger:info:57 | Fetching all branches from origin...
2025-11-02 20:32:43 | INFO     | logger:info:57 | Created checkpoint: Initial checkpoint
2025-11-02 20:32:43 | INFO     | logger:info:57 | Wave.AI sync engine initialized successfully
2025-11-02 20:32:43 | INFO     | logger:info:57 | Sync engine initialized successfully
2025-11-02 20:32:43 | INFO     | logger:info:57 | File watcher started for: C:\Users\janny\Desktop\testrepo
2025-11-02 20:32:43 | INFO     | logger:info:57 | Watching patterns: ['*.py', '*.js', '*.jsx', '*.ts', '*.tsx', '*.html', '*.css', '*.json', '*.md']
2025-11-02 20:32:43 | INFO     | logger:info:57 | Sync loop started (interval: 15s)
2025-11-02 20:32:43 | INFO     | logger:info:57 | Wave.AI sync engine started
2025-11-02 20:41:14 | INFO     | logger:info:57 | Starting Wave.AI in GUI mode
2025-11-02 20:41:15 | INFO     | logger:info:57 | Starting Wave.AI GUI
2025-11-02 20:41:15 | INFO     | logger:info:57 | Created tab 0: Perplexity 1
2025-11-02 20:41:15 | INFO     | logger:info:57 | Wave.AI window loaded
2025-11-02 20:41:15 | INFO     | logger:info:57 | Initializing sync engine...
2025-11-02 20:41:15 | INFO     | logger:info:57 | Initializing Git sync for https://github.com/axzaxzz/AppTesting/
2025-11-02 20:41:15 | INFO     | logger:info:57 | Opened existing repository at C:\Users\janny\Desktop\testrepo
2025-11-02 20:41:15 | INFO     | logger:info:57 | Fetching all branches from origin...
2025-11-02 20:41:17 | INFO     | logger:info:57 | Created checkpoint: Initial checkpoint
2025-11-02 20:41:17 | INFO     | logger:info:57 | Wave.AI sync engine initialized successfully
2025-11-02 20:41:17 | INFO     | logger:info:57 | Sync engine initialized successfully
2025-11-02 20:41:17 | INFO     | logger:info:57 | File watcher started for: C:\Users\janny\Desktop\testrepo
